Maker,Model,Release_year,Max_resolution,Low_resolution,Effective_megapixels,Zoom_wide(mm),Zoom_tele(mm),Normal_focus_range(mm),Macro_focus_range(mm),Storage_included(GB),Weight(g),Dimensions(mm),Price(dollars)
Olympus,Olympus D-630 Zoom,1/1/2005,2560.00,1600.00,4.00,35.00,105.00,60.00,10.00,14.00,175.00,94.00,129.00
Olympus,Olympus E-500,1/1/2005,3264.00,3200.00,8.00,0.00,0.00,0.00,0.00,0.00,479.00,130.00,1699.00
Olympus,Olympus FE-100,1/1/2005,2272.00,1600.00,4.00,35.00,106.00,50.00,5.00,28.00,160.00,88.00,129.00
Olympus,Olympus FE-110,1/1/2005,2560.00,1600.00,5.00,35.00,106.00,50.00,5.00,28.00,160.00,88.00,129.00
Olympus,Olympus FE-120,1/1/2005,2816.00,1600.00,6.00,38.00,114.00,50.00,5.00,14.00,160.00,106.00,129.00
Olympus,Olympus IR-300,1/1/2005,2560.00,2048.00,4.00,38.00,114.00,50.00,5.00,15.00,160.00,99.00,129.00
Olympus,Olympus SP-310,1/1/2005,3072.00,2592.00,7.00,38.00,114.00,20.00,5.00,32.00,230.00,100.00,449.00
Olympus,Olympus SP-350,1/1/2005,3264.00,2592.00,8.00,38.00,114.00,20.00,5.00,32.00,245.00,100.00,449.00
Olympus,Olympus SP-500 UZ,1/1/2005,2816.00,2592.00,6.00,38.00,380.00,60.00,3.00,10.00,385.00,106.00,449.00
Olympus,Olympus SP-700,1/1/2005,2816.00,2288.00,6.00,38.00,114.00,30.00,10.00,11.00,180.00,98.00,449.00
Olympus,Olympus Stylus 600 ,1/1/2005,2816.00,2560.00,6.00,35.00,105.00,50.00,7.00,8.00,195.00,97.00,229.00
Olympus,Olympus Stylus 800 ,1/1/2005,3264.00,2560.00,8.00,38.00,114.00,50.00,3.00,19.00,200.00,103.00,249.00
Olympus,Olympus Stylus Verve  S,1/1/2005,2560.00,2048.00,4.00,35.00,70.00,50.00,8.00,16.00,165.00,95.00,299.00
Panasonic,Panasonic Lumix DMC-FX8,1/1/2005,2560.00,2560.00,5.00,35.00,105.00,50.00,5.00,16.00,155.00,94.00,1499.00
Panasonic,Panasonic Lumix DMC-FX9,1/1/2005,2816.00,2048.00,6.00,35.00,105.00,50.00,5.00,16.00,155.00,94.00,1499.00
Panasonic,Panasonic Lumix DMC-FZ30,1/1/2005,3264.00,2560.00,8.00,35.00,420.00,30.00,5.00,32.00,740.00,141.00,299.00
Panasonic,Panasonic Lumix DMC-FZ4,1/1/2005,2304.00,1600.00,4.00,35.00,420.00,50.00,5.00,8.00,326.00,102.00,149.00
Panasonic,Panasonic Lumix DMC-FZ5,1/1/2005,2560.00,2048.00,4.00,36.00,432.00,50.00,5.00,16.00,326.00,108.00,149.00
Panasonic,Panasonic Lumix DMC-LS1,1/1/2005,2304.00,1600.00,4.00,35.00,105.00,50.00,5.00,14.00,188.00,94.00,1499.00
Panasonic,Panasonic Lumix DMC-LX1,1/1/2005,3840.00,3072.00,8.00,28.00,112.00,50.00,5.00,32.00,220.00,106.00,1499.00
Panasonic,Panasonic Lumix DMC-LZ1,1/1/2005,2304.00,1600.00,4.00,37.00,222.00,50.00,5.00,14.00,224.00,101.00,149.00
Panasonic,Panasonic Lumix DMC-LZ2,1/1/2005,2560.00,2048.00,5.00,37.00,222.00,50.00,5.00,14.00,224.00,101.00,149.00
Pentax,Pentax *ist DL,1/1/2005,3008.00,2400.00,6.00,0.00,0.00,0.00,0.00,0.00,565.00,125.00,799.00
Pentax,Pentax *ist DS2,1/1/2005,3008.00,2400.00,6.00,0.00,0.00,0.00,0.00,0.00,605.00,125.00,799.00
Pentax,Pentax Optio 50,1/1/2005,2560.00,2048.00,4.00,32.00,96.00,50.00,6.00,12.00,180.00,91.00,149.00
Pentax,Pentax Optio 60,1/1/2005,2848.00,2272.00,6.00,36.00,108.00,50.00,5.00,12.00,200.00,91.00,149.00
Pentax,Pentax Optio S45,1/1/2005,2304.00,1600.00,4.00,35.00,107.00,40.00,6.00,11.00,155.00,89.00,149.00
Pentax,Pentax Optio S55,1/1/2005,2560.00,2304.00,5.00,35.00,107.00,40.00,6.00,11.00,155.00,89.00,149.00
Pentax,Pentax Optio S5n,1/1/2005,2560.00,2304.00,4.00,35.00,107.00,40.00,6.00,9.00,120.00,84.00,149.00
Pentax,Pentax Optio S5z,1/1/2005,2560.00,2304.00,5.00,35.00,107.00,40.00,6.00,9.00,120.00,83.00,149.00
Pentax,Pentax Optio S6,1/1/2005,2816.00,2560.00,6.00,37.00,112.00,40.00,15.00,23.00,120.00,86.00,149.00
Pentax,Pentax Optio S60,1/1/2005,2816.00,2560.00,6.00,35.00,106.00,40.00,6.00,11.00,135.00,89.00,149.00
Pentax,Pentax Optio SVi,1/1/2005,2560.00,2048.00,5.00,36.00,180.00,60.00,3.00,32.00,165.00,91.00,149.00
Pentax,Pentax Optio WP,1/1/2005,2560.00,2304.00,4.00,38.00,114.00,40.00,1.00,10.00,135.00,102.00,269.00
Pentax,Pentax Optio WPi,1/1/2005,2816.00,2560.00,6.00,38.00,114.00,40.00,1.00,10.00,135.00,102.00,269.00
Ricoh,Ricoh Caplio R1V,1/1/2005,2560.00,2048.00,4.00,28.00,135.00,30.00,1.00,12.00,195.00,100.00,99.00
Ricoh,Ricoh Caplio R2,1/1/2005,2560.00,2048.00,4.00,28.00,135.00,30.00,1.00,28.00,195.00,100.00,99.00
Ricoh,Ricoh Caplio R3,1/1/2005,2560.00,2048.00,4.00,28.00,200.00,30.00,1.00,26.00,165.00,95.00,99.00
Ricoh,Ricoh Caplio RR530,1/1/2005,2560.00,2048.00,4.00,32.00,96.00,30.00,1.00,12.00,190.00,91.00,399.00
Ricoh,Ricoh GR Digital,1/1/2005,3264.00,2592.00,8.00,28.00,28.00,30.00,2.00,26.00,200.00,107.00,4999.00
Ricoh,Ricoh Caplio GX8,1/1/2005,3264.00,2592.00,8.00,28.00,85.00,30.00,1.00,26.00,260.00,114.00,99.00
Samsung,Samsung Digimax A50,1/1/2005,2592.00,2272.00,5.00,35.00,105.00,80.00,5.00,11.00,185.00,107.00,229.00
Samsung,Samsung Digimax A502,1/1/2005,2592.00,2272.00,5.00,31.00,31.00,100.00,2.00,16.00,175.00,97.00,229.00
Samsung,Samsung Digimax A55W,1/1/2005,2592.00,2272.00,5.00,28.00,135.00,60.00,1.00,32.00,185.00,106.00,229.00
Samsung,Samsung Digimax i5,1/1/2005,2595.00,2272.00,5.00,39.00,117.00,50.00,5.00,50.00,155.00,90.00,229.00
Samsung,Samsung Pro815,1/1/2005,3264.00,2400.00,8.00,28.00,420.00,10.00,3.00,0.00,910.00,136.00,299.00
Samsung,Samsung Digimax V700,1/1/2005,3072.00,2816.00,7.00,38.00,114.00,80.00,4.00,128.00,220.00,106.00,229.00
Samsung,Samsung Digimax V800,1/1/2005,3264.00,2816.00,8.00,38.00,114.00,80.00,4.00,32.00,220.00,106.00,229.00
Sony,Sony DSC-H1,1/1/2005,2592.00,2048.00,5.00,36.00,432.00,50.00,2.00,32.00,591.00,108.00,429.00
Sony,Sony DSC-M2,1/1/2005,2592.00,2048.00,5.00,38.00,114.00,50.00,1.00,32.00,240.00,51.00,399.00
Sony,Sony DSC-N1,1/1/2005,3264.00,2592.00,8.00,38.00,114.00,50.00,6.00,32.00,139.00,94.00,429.00
Sony,Sony DSC-P200,1/1/2005,3072.00,2592.00,7.00,38.00,114.00,50.00,6.00,32.00,180.00,104.00,399.00
Sony,Sony DSC-R1,1/1/2005,3888.00,3264.00,10.00,24.00,120.00,0.00,0.00,0.00,995.00,139.00,429.00
Sony,Sony DSC-S40,1/1/2005,2304.00,2048.00,4.00,32.00,96.00,0.00,0.00,32.00,184.00,99.00,149.00
Sony,Sony DSC-S60,1/1/2005,2304.00,2048.00,4.00,39.00,117.00,50.00,10.00,32.00,249.00,97.00,149.00
Sony,Sony DSC-S90,1/1/2005,2304.00,2048.00,4.00,39.00,117.00,50.00,10.00,32.00,253.00,97.00,149.00
Sony,Sony DSC-T33,1/1/2005,2592.00,2048.00,5.00,38.00,114.00,50.00,8.00,32.00,150.00,99.00,399.00
Sony,Sony DSC-T5,1/1/2005,2592.00,2048.00,5.00,38.00,114.00,50.00,8.00,32.00,139.00,94.00,399.00
Sony,Sony DSC-T7,1/1/2005,2592.00,2048.00,5.00,38.00,114.00,50.00,8.00,32.00,134.00,92.00,149.00
Sony,Sony DSC-T9,1/1/2005,2816.00,2048.00,6.00,38.00,114.00,50.00,1.00,32.00,185.00,90.00,429.00
Sony,Sony DSC-W5,1/1/2005,2592.00,2048.00,5.00,38.00,114.00,50.00,6.00,32.00,250.00,91.00,429.00
Sony,Sony DSC-W7,1/1/2005,3072.00,2592.00,7.00,38.00,114.00,50.00,6.00,32.00,250.00,91.00,149.00
Canon,Canon PowerShot A310,1/1/2004,2048.00,1600.00,3.00,33.00,33.00,0.00,5.00,0.00,205.00,110.00,139.00
Canon,Canon PowerShot A400,1/1/2004,2048.00,1600.00,3.00,45.00,100.00,0.00,5.00,16.00,255.00,107.00,139.00
Canon,Canon PowerShot A75,1/1/2004,2048.00,1600.00,3.00,35.00,105.00,46.00,5.00,32.00,315.00,101.00,139.00
Canon,Canon PowerShot A85,1/1/2004,2272.00,1600.00,4.00,35.00,105.00,0.00,5.00,32.00,300.00,101.00,139.00
Canon,Canon PowerShot A95,1/1/2004,2592.00,2048.00,5.00,38.00,114.00,45.00,5.00,32.00,335.00,101.00,139.00
Canon,Canon EOS-1D Mark II,1/1/2004,3504.00,3104.00,8.00,0.00,0.00,0.00,0.00,0.00,1565.00,156.00,4499.00
Canon,Canon EOS-1Ds Mark II,1/1/2004,4992.00,3600.00,16.00,0.00,0.00,0.00,0.00,0.00,1565.00,156.00,7999.00
Canon,Canon EOS 20D,1/1/2004,3504.00,2544.00,8.00,0.00,0.00,0.00,0.00,0.00,770.00,144.00,1299.00
Canon,Canon PowerShot G6,1/1/2004,3072.00,2592.00,7.00,35.00,140.00,50.00,5.00,32.00,467.00,105.00,499.00
Canon,Canon PowerShot Pro1,1/1/2004,3264.00,2272.00,8.00,28.00,200.00,50.00,3.00,64.00,640.00,118.00,139.00
Canon,Canon PowerShot S1 IS,1/1/2004,2048.00,1600.00,3.00,38.00,380.00,10.00,10.00,32.00,469.00,111.00,399.00
Canon,Canon PowerShot S410,1/1/2004,2272.00,1600.00,3.00,36.00,108.00,0.00,5.00,32.00,215.00,87.00,139.00
Canon,Canon PowerShot S500,1/1/2004,2592.00,2048.00,5.00,36.00,108.00,0.00,5.00,32.00,215.00,87.00,149.00
Canon,Canon PowerShot S60,1/1/2004,2592.00,1600.00,5.00,28.00,100.00,50.00,4.00,32.00,300.00,114.00,399.00
Canon,Canon PowerShot S70,1/1/2004,3072.00,2592.00,7.00,28.00,100.00,50.00,4.00,32.00,300.00,114.00,399.00
Canon,Canon PowerShot SD110,1/1/2004,2048.00,1600.00,3.00,35.00,70.00,0.00,10.00,16.00,195.00,85.00,199.00
Canon,Canon PowerShot SD20,1/1/2004,2592.00,2048.00,5.00,39.00,39.00,0.00,3.00,32.00,140.00,90.00,199.00
Canon,Canon PowerShot SD200,1/1/2004,2048.00,1600.00,3.00,35.00,105.00,0.00,3.00,16.00,135.00,86.00,199.00
Canon,Canon PowerShot SD300,1/1/2004,2272.00,1600.00,3.00,35.00,105.00,0.00,3.00,16.00,147.00,86.00,199.00
Casio,Casio Exilim EX-P600,1/1/2004,2816.00,2048.00,5.00,33.00,132.00,40.00,10.00,9.00,275.00,98.00,249.00
Casio,Casio Exilim EX-P700,1/1/2004,3072.00,2304.00,7.00,33.00,132.00,40.00,10.00,9.00,275.00,98.00,249.00
Casio,Casio Exilim EX-S100,1/1/2004,2048.00,1600.00,3.00,36.00,102.00,40.00,17.00,9.00,123.00,88.00,249.00
Casio,Casio Exilim EX-Z30,1/1/2004,2048.00,1600.00,3.00,35.00,105.00,40.00,6.00,9.00,150.00,87.00,329.00
Casio,Casio Exilim EX-Z40,1/1/2004,2304.00,1600.00,4.00,35.00,105.00,40.00,6.00,9.00,150.00,87.00,329.00
Casio,Casio Exilim EX-Z50,1/1/2004,2560.00,2048.00,5.00,35.00,105.00,50.00,6.00,9.00,171.00,87.00,329.00
Casio,Casio Exilim EX-Z55,1/1/2004,2560.00,2048.00,5.00,35.00,105.00,50.00,6.00,9.00,180.00,87.00,329.00
Casio,Casio QV-R41,1/1/2004,2304.00,2240.00,3.00,39.00,117.00,60.00,10.00,9.00,198.00,88.00,249.00
Casio,Casio QV-R51,1/1/2004,2560.00,2048.00,4.00,39.00,117.00,60.00,10.00,9.00,210.00,88.00,249.00
Casio,Casio QV-R61,1/1/2004,2816.00,2048.00,6.00,39.00,117.00,70.00,10.00,9.00,218.00,88.00,249.00
Casio,Casio QV-R62,1/1/2004,2816.00,2048.00,6.00,39.00,117.00,70.00,10.00,9.00,218.00,88.00,249.00
Epson,Epson PhotoPC L-500V,1/1/2004,2560.00,1600.00,4.00,34.00,102.00,50.00,5.00,16.00,200.00,92.00,159.00
Epson,Epson PhotoPC L-410,1/1/2004,2304.00,1600.00,4.00,34.00,102.00,50.00,11.00,16.00,203.00,92.00,129.00
Epson,Epson R-D1,1/1/2004,3008.00,2240.00,6.00,0.00,0.00,0.00,0.00,0.00,620.00,142.00,4499.00
Fujifilm,Fujifilm FinePix A120,1/1/2004,2016.00,1600.00,3.00,38.00,38.00,80.00,9.00,16.00,170.00,102.00,169.00
Fujifilm,Fujifilm FinePix A330,1/1/2004,2016.00,1600.00,3.00,38.00,114.00,60.00,10.00,16.00,160.00,104.00,169.00
Fujifilm,Fujifilm FinePix A340,1/1/2004,2272.00,1600.00,4.00,38.00,114.00,60.00,10.00,16.00,160.00,104.00,169.00
Fujifilm,Fujifilm FinePix E500 Zoom,1/1/2004,2304.00,1600.00,4.00,28.00,91.00,60.00,6.00,16.00,226.00,101.00,169.00
Fujifilm,Fujifilm FinePix E510 Zoom,1/1/2004,2592.00,2048.00,5.00,28.00,91.00,60.00,2.00,16.00,226.00,101.00,169.00
Fujifilm,Fujifilm FinePix E550 Zoom,1/1/2004,4048.00,2048.00,6.00,32.00,130.00,60.00,7.00,16.00,260.00,105.00,169.00
Fujifilm,Fujifilm FinePix F440 Zoom,1/1/2004,2304.00,1600.00,3.00,38.00,130.00,60.00,9.00,16.00,180.00,75.00,169.00
Fujifilm,Fujifilm FinePix F450 Zoom,1/1/2004,2592.00,2048.00,5.00,38.00,130.00,60.00,9.00,16.00,180.00,75.00,199.00
Fujifilm,Fujifilm FinePix F455 Zoom,1/1/2004,2592.00,2048.00,5.00,38.00,130.00,60.00,9.00,16.00,180.00,93.00,199.00
Fujifilm,Fujifilm FinePix F710,1/1/2004,2832.00,2048.00,3.00,32.00,130.00,60.00,8.00,16.00,225.00,110.00,169.00
Fujifilm,Fujifilm FinePix F810 Zoom,1/1/2004,4048.00,2848.00,6.00,32.00,130.00,60.00,7.00,16.00,250.00,110.00,169.00
Fujifilm,Fujifilm FinePix S20 Pro,1/1/2004,2832.00,2016.00,6.00,35.00,210.00,50.00,1.00,16.00,597.00,121.00,1699.00
Fujifilm,Fujifilm FinePix S3500 Zoom,1/1/2004,2272.00,1600.00,4.00,39.00,234.00,80.00,10.00,16.00,385.00,100.00,229.00
Fujifilm,Fujifilm FinePix S5100 Zoom,1/1/2004,2272.00,1600.00,4.00,37.00,370.00,90.00,10.00,16.00,387.00,113.00,229.00
Fujifilm,Fujifilm FinePix S3 Pro,1/1/2004,4256.00,3024.00,6.00,0.00,0.00,0.00,0.00,0.00,930.00,148.00,1699.00
HP,HP Photosmart M307,1/1/2004,2080.00,1280.00,3.00,40.00,111.00,80.00,10.00,16.00,177.00,107.00,179.00
HP,HP Photosmart M407,1/1/2004,2320.00,1280.00,4.00,40.00,111.00,50.00,10.00,16.00,190.00,95.00,179.00
HP,HP Photosmart R507,1/1/2004,2320.00,1280.00,4.00,35.00,105.00,50.00,6.00,32.00,205.00,96.00,179.00
HP,HP Photosmart R607,1/1/2004,2320.00,1280.00,4.00,35.00,105.00,50.00,14.00,32.00,205.00,96.00,179.00
HP,HP Photosmart R707,1/1/2004,2608.00,1296.00,5.00,39.00,117.00,50.00,14.00,32.00,150.00,93.00,179.00
Kodak,Kodak CX7220,1/1/2004,0.00,0.00,2.00,37.00,78.00,50.00,60.00,16.00,195.00,104.00,129.00
Kodak,Kodak CX7300,1/1/2004,2096.00,0.00,3.00,37.00,37.00,80.00,0.00,16.00,162.00,104.00,126.00
Kodak,Kodak CX7330,1/1/2004,2032.00,0.00,3.00,37.00,111.00,60.00,13.00,16.00,225.00,103.00,126.00
Kodak,Kodak CX7430,1/1/2004,2408.00,0.00,4.00,34.00,102.00,60.00,10.00,16.00,198.00,103.00,126.00
Kodak,Kodak CX7530,1/1/2004,2560.00,0.00,4.00,34.00,102.00,60.00,10.00,32.00,240.00,103.00,126.00
Kodak,Kodak DCS SLR/c,1/1/2004,4500.00,3000.00,13.00,0.00,0.00,0.00,0.00,0.00,1000.00,137.00,129.00
Kodak,Kodak DCS SLR/n,1/1/2004,4500.00,3000.00,13.00,0.00,0.00,0.00,0.00,0.00,1000.00,131.00,129.00
Kodak,Kodak DX7440,1/1/2004,2304.00,2048.00,4.00,33.00,132.00,50.00,10.00,32.00,270.00,100.00,129.00
Kodak,Kodak DX7590,1/1/2004,2576.00,2576.00,5.00,38.00,380.00,60.00,12.00,32.00,400.00,97.00,126.00
Kodak,Kodak DX7630,1/1/2004,2872.00,0.00,6.00,39.00,117.00,60.00,7.00,32.00,270.00,100.00,126.00
Kodak,Kodak LS743,1/1/2004,2304.00,0.00,4.00,36.00,100.00,60.00,12.00,16.00,220.00,108.00,126.00
Kodak,Kodak LS753,1/1/2004,2569.00,0.00,5.00,36.00,108.00,60.00,12.00,32.00,220.00,108.00,126.00
Kodak,Kodak LS755,1/1/2004,2592.00,2288.00,5.00,36.00,108.00,70.00,5.00,16.00,210.00,95.00,126.00
Kyocera,Kyocera Finecam M400R,1/1/2004,2272.00,1600.00,4.00,37.00,370.00,60.00,10.00,0.00,340.00,107.00,169.00
Kyocera,Kyocera Finecam M410R,1/1/2004,2272.00,1600.00,4.00,37.00,370.00,60.00,10.00,0.00,340.00,107.00,179.00
Kyocera,Kyocera Finecam SL400R,1/1/2004,2272.00,1600.00,3.00,35.00,115.00,60.00,20.00,16.00,155.00,100.00,229.00
Nikon,Nikon Coolpix 2200,1/1/2004,1600.00,1024.00,1.00,36.00,108.00,30.00,4.00,14.00,190.00,88.00,229.00
Nikon,Nikon Coolpix 3200,1/1/2004,2048.00,1600.00,3.00,38.00,115.00,30.00,4.00,14.00,190.00,88.00,229.00
Nikon,Nikon Coolpix 4100,1/1/2004,2288.00,1600.00,3.00,35.00,105.00,0.00,0.00,14.00,190.00,88.00,99.00
Nikon,Nikon Coolpix 4200,1/1/2004,2272.00,2048.00,3.00,38.00,114.00,30.00,4.00,12.00,180.00,88.00,229.00
Nikon,Nikon Coolpix 4800,1/1/2004,2288.00,1600.00,4.00,36.00,300.00,40.00,1.00,13.00,295.00,106.00,229.00
Nikon,Nikon Coolpix 5200,1/1/2004,2592.00,2048.00,5.00,38.00,114.00,30.00,4.00,12.00,180.00,88.00,229.00
Nikon,Nikon Coolpix 8400,1/1/2004,3264.00,2592.00,8.00,24.00,85.00,50.00,3.00,0.00,470.00,113.00,229.00
Nikon,Nikon Coolpix 8700,1/1/2004,3264.00,2592.00,8.00,35.00,280.00,50.00,3.00,0.00,512.00,113.00,229.00
Nikon,Nikon Coolpix 8800,1/1/2004,3264.00,2592.00,8.00,35.00,350.00,50.00,3.00,0.00,680.00,116.00,229.00
Nikon,Nikon D2X,1/1/2004,4288.00,3216.00,12.00,0.00,0.00,0.00,0.00,0.00,1200.00,158.00,4699.00
Nikon,Nikon D70,1/1/2004,3008.00,2240.00,6.00,0.00,0.00,0.00,0.00,0.00,679.00,140.00,1599.00
Olympus,Olympus C-60 Zoom,1/1/2004,2816.00,2560.00,5.00,38.00,114.00,40.00,4.00,32.00,230.00,99.00,449.00
Olympus,Olympus C-7000 Zoom,1/1/2004,3072.00,2592.00,7.00,38.00,190.00,60.00,2.00,32.00,280.00,102.00,129.00
Olympus,Olympus C-765 UZ,1/1/2004,2288.00,2048.00,3.00,38.00,380.00,60.00,7.00,16.00,310.00,105.00,449.00
Olympus,Olympus C-770 UZ,1/1/2004,2288.00,2048.00,3.00,38.00,380.00,60.00,7.00,32.00,310.00,105.00,449.00
Olympus,Olympus C-8080 Wide Zoom,1/1/2004,3264.00,2592.00,8.00,28.00,140.00,80.00,5.00,32.00,724.00,124.00,179.00
Olympus,Olympus D-395,1/1/2004,2048.00,1024.00,3.00,33.00,33.00,50.00,20.00,16.00,210.00,110.00,1699.00
Olympus,Olympus D-535 Zoom,1/1/2004,2048.00,1600.00,3.00,38.00,114.00,50.00,2.00,12.00,190.00,88.00,449.00
Olympus,Olympus D-540 Zoom,1/1/2004,2048.00,1600.00,3.00,38.00,114.00,50.00,2.00,16.00,200.00,100.00,449.00
Olympus,Olympus D-580 Zoom,1/1/2004,2288.00,1600.00,3.00,35.00,105.00,50.00,7.00,16.00,210.00,108.00,179.00
Olympus,Olympus E-300,1/1/2004,3264.00,3200.00,8.00,0.00,0.00,0.00,0.00,0.00,624.00,147.00,1699.00
Olympus,Olympus Stylus 410 ,1/1/2004,2272.00,2048.00,3.00,35.00,105.00,50.00,20.00,16.00,200.00,99.00,229.00
Olympus,Olympus Stylus 500 ,1/1/2004,2560.00,2048.00,4.00,35.00,105.00,50.00,7.00,32.00,200.00,99.00,229.00
Olympus,Olympus Stylus Verve ,1/1/2004,2272.00,2048.00,3.00,35.00,70.00,50.00,8.00,16.00,165.00,95.00,229.00
Panasonic,Panasonic Lumix DMC-FX2,1/1/2004,2304.00,1600.00,4.00,35.00,105.00,50.00,5.00,16.00,148.00,94.00,1499.00
Panasonic,Panasonic Lumix DMC-FX7,1/1/2004,2560.00,2048.00,4.00,35.00,105.00,50.00,5.00,16.00,153.00,94.00,1499.00
Panasonic,Panasonic Lumix DMC-FZ20,1/1/2004,2560.00,2048.00,5.00,36.00,432.00,30.00,5.00,16.00,556.00,87.00,149.00
Panasonic,Panasonic Lumix DMC-FZ3,1/1/2004,2016.00,1600.00,3.00,35.00,420.00,30.00,5.00,16.00,326.00,108.00,299.00
Panasonic,Panasonic Lumix DMC-LC1,1/1/2004,2560.00,2048.00,4.00,28.00,90.00,30.00,30.00,16.00,705.00,135.00,1499.00
Panasonic,Panasonic Lumix DMC-LC50,1/1/2004,2048.00,1600.00,3.00,35.00,105.00,50.00,10.00,16.00,210.00,65.00,1499.00
Panasonic,Panasonic Lumix DMC-LC70,1/1/2004,2304.00,1600.00,4.00,35.00,105.00,50.00,10.00,16.00,210.00,65.00,1499.00
Panasonic,Panasonic Lumix DMC-LC80,1/1/2004,2560.00,2048.00,4.00,35.00,105.00,50.00,10.00,16.00,207.00,88.00,1499.00
Pentax,Pentax *ist DS,1/1/2004,3008.00,2400.00,6.00,0.00,0.00,0.00,0.00,0.00,605.00,125.00,799.00
Pentax,Pentax Optio 30,1/1/2004,2048.00,1600.00,3.00,38.00,114.00,50.00,2.00,16.00,180.00,94.00,149.00
Pentax,Pentax Optio 43WR,1/1/2004,2288.00,1600.00,3.00,37.00,104.00,30.00,1.00,16.00,200.00,82.00,269.00
Pentax,Pentax Optio 750Z,1/1/2004,3056.00,2592.00,7.00,37.00,187.00,60.00,2.00,32.00,255.00,100.00,149.00
Pentax,Pentax Optio MX4,1/1/2004,2304.00,1600.00,4.00,37.00,370.00,40.00,10.00,16.00,375.00,73.00,149.00
Pentax,Pentax Optio S30,1/1/2004,2048.00,1600.00,3.00,38.00,114.00,40.00,6.00,11.00,175.00,89.00,269.00
Pentax,Pentax Optio S40,1/1/2004,2304.00,1600.00,4.00,35.00,105.00,40.00,6.00,11.00,175.00,89.00,149.00
Pentax,Pentax Optio S4i,1/1/2004,2304.00,1600.00,4.00,35.00,105.00,40.00,6.00,10.00,120.00,84.00,149.00
Pentax,Pentax Optio S50,1/1/2004,2560.00,2304.00,5.00,35.00,107.00,40.00,6.00,11.00,180.00,89.00,149.00
Pentax,Pentax Optio S5i,1/1/2004,2560.00,2048.00,4.00,36.00,107.00,40.00,6.00,10.00,120.00,84.00,149.00
Pentax,Pentax Optio SV,1/1/2004,2560.00,2048.00,5.00,36.00,180.00,60.00,3.00,32.00,165.00,91.00,149.00
Pentax,Pentax Optio X,1/1/2004,2560.00,2048.00,5.00,36.00,107.00,40.00,6.00,14.00,145.00,112.00,149.00
Ricoh,Ricoh Caplio RX,1/1/2004,2048.00,1280.00,3.00,28.00,100.00,30.00,1.00,8.00,215.00,112.00,99.00
Samsung,Samsung Digimax 202,1/1/2004,1600.00,1024.00,1.00,35.00,47.00,120.00,19.00,6.00,135.00,98.00,229.00
Samsung,Samsung Digimax 250,1/1/2004,1600.00,1024.00,1.00,35.00,76.00,80.00,15.00,6.00,210.00,107.00,229.00
Samsung,Samsung Digimax 301,1/1/2004,2048.00,1600.00,3.00,35.00,33.00,10.00,19.00,16.00,137.00,98.00,299.00
Samsung,Samsung Digimax 370,1/1/2004,2048.00,1620.00,3.00,35.00,114.00,80.00,5.00,0.00,157.00,108.00,229.00
Samsung,Samsung Digimax 401,1/1/2004,2048.00,1600.00,4.00,35.00,33.00,10.00,19.00,16.00,137.00,98.00,299.00
Samsung,Samsung Digimax 430,1/1/2004,2272.00,2048.00,3.00,35.00,114.00,80.00,5.00,32.00,210.00,107.00,229.00
Samsung,Samsung Digimax 530,1/1/2004,2592.00,2048.00,5.00,38.00,114.00,80.00,6.00,32.00,195.00,110.00,229.00
Samsung,Samsung Digimax U-CA 4,1/1/2004,2272.00,2048.00,4.00,35.00,105.00,80.00,5.00,0.00,169.00,102.00,229.00
Samsung,Samsung Digimax U-CA 401,1/1/2004,2272.00,1136.00,3.00,35.00,35.00,60.00,6.00,0.00,165.00,97.00,229.00
Samsung,Samsung Digimax V40,1/1/2004,2272.00,2048.00,3.00,35.00,113.00,80.00,5.00,0.00,230.00,106.00,229.00
Samsung,Samsung Digimax V5,1/1/2004,2592.00,2272.00,5.00,38.00,114.00,80.00,5.00,0.00,180.00,106.00,229.00
Samsung,Samsung Digimax V50,1/1/2004,2592.00,2272.00,5.00,35.00,113.00,80.00,5.00,256.00,230.00,106.00,229.00
Samsung,Samsung Digimax V6,1/1/2004,2816.00,2560.00,6.00,38.00,114.00,80.00,6.00,0.00,220.00,106.00,229.00
Sanyo,Sanyo Xacti DSC-S3,1/1/2004,2048.00,1600.00,3.00,37.00,112.00,50.00,2.00,16.00,185.00,91.00,1399.00
Sanyo,Sanyo Xacti DSC-S4,1/1/2004,2288.00,1600.00,3.00,37.00,105.00,50.00,2.00,16.00,185.00,91.00,1399.00
Sony,Sony DSC-F88,1/1/2004,2592.00,2048.00,5.00,38.00,114.00,50.00,8.00,32.00,202.00,98.00,429.00
Sony,Sony DSC-L1,1/1/2004,2304.00,1280.00,4.00,32.00,96.00,12.00,12.00,16.00,152.00,95.00,429.00
Sony,Sony DSC-M1,1/1/2004,2592.00,2048.00,5.00,38.00,114.00,50.00,8.00,32.00,215.00,51.00,429.00
Sony,Sony DSC-P100,1/1/2004,2592.00,2048.00,5.00,38.00,114.00,50.00,10.00,32.00,180.00,108.00,149.00
Sony,Sony DSC-P150,1/1/2004,3072.00,2592.00,7.00,38.00,114.00,50.00,6.00,32.00,180.00,108.00,149.00
Sony,Sony DSC-P41,1/1/2004,2272.00,1600.00,3.00,33.00,33.00,10.00,10.00,16.00,180.00,106.00,429.00
